(6e13a42e-baf5-41ec-85f9-f1ff6cfc0bb4,26);-6.280594914815822;96.5243889886948;Voluptas officiis ut explicabo libero in aspernatur dolores.;(450bcb16-9b2c-499c-91ae-faa7861f7a8e,32,(13309d6b-d1e2-4f8b-ace2-927937ba59b2,93));2022-04-06;22;28;9
(a764a862-065f-4306-a3cb-cb7e668397f7,10);44.79367437703161;-166.35602844800917;Pariatur iste vitae at ab sit provident impedit.;(d2244432-ba52-4532-a553-c46a4070335a,15,(8147b2bd-f5e2-49e6-b835-b18af93cc375,79));2022-04-06;40;27;4
(f545dd47-e113-43ac-9f12-e5b9d3622b2a,76);9.11287597314076;41.96631047221703;Modi tenetur ratione porro.;(65f0fedc-2174-47fc-aff6-4f7bd11f223f,6,(f75630ad-f7b8-4d01-8119-f433c76bb2f3,56));2022-04-06;28;12;14
(d438f347-d419-4fa9-b4dc-a598b25d58b2,52);20.052461036944592;76.05194271757915;Sit aut autem dolore quam nihil.;(76871d66-088d-4105-8d86-3be5e276c462,95,(e9b309e5-039e-44cd-94cb-9b7d98cf3099,36));2022-04-06;41;26;4
(a250113d-9276-45f9-9e20-5e381a960a17,42);79.3694613026289;30.700881483274543;Molestiae autem molestiae dicta corrupti architecto omnis.;(c3978200-9a70-4060-95ae-71d4a9791c2c,76,(7cade365-9367-4669-80c0-0656da434729,29));2022-04-06;22;15;11
(445bfbea-d9e7-453e-ad54-e1d415723760,76);42.251391632410105;146.59842719737821;Quam repellat qui iusto minus id in.;(5ecbf2d8-3305-4043-8826-39be81729f81,44,(0f52ffe2-5776-45ac-8da8-4497630e9362,34));2022-04-06;17;17;14
(c58a44f4-3502-493f-a773-d0c5ab4ab392,4);-67.16533273922975;31.336228981632416;Possimus doloribus quod autem est aut quia.;(1a9dfba7-5137-4a84-9c5e-cedf0812fbb4,41,(363a053c-f809-40b4-bb71-e185449b1a89,21));2022-04-06;84;24;10
(94d00bdd-f770-4627-8a1b-51879c0c13a0,92);24.17335015006381;19.065301720495057;Quia excepturi quae velit minus id ea.;(3b837051-722d-471e-a5d2-b02c57352a6e,76,(9803190a-2f5a-40f2-a6f0-27b71cb4f9dc,4));2022-04-06;48;18;3
(42bc41af-36ee-4109-ba0f-400855b7fb3f,78);34.33795386618405;155.41692520025697;Qui blanditiis unde qui inventore quae et ut.;(4ff0237e-f0fe-4f50-bb14-21581f242199,40,(6074d2c7-f1ee-47e3-aba2-ce6c72fb847f,81));2022-04-06;29;11;1
(1fb5a8e7-6905-4cd8-ae12-ebdf7cf25816,20);33.25610185396556;-21.176645092161095;Ut maiores eos inventore in.;(3aee6825-f415-48b3-87fc-a0257d9e8330,59,(584352f0-c608-4985-a825-c8454c5e232a,76));2022-04-06;99;27;17
(1bfe58d8-9956-4144-8707-592a691ea6d5,42);74.36914998167083;-51.15954445626966;Eaque sit aut eum voluptatem neque sequi.;(9adcf0aa-ae47-4ebe-96c3-ca287d528e8b,39,(7f206767-e440-4dc6-95a2-51e4f31afd8a,71));2022-04-06;43;11;17
(b881bea5-09a2-4ce0-9081-7a06d4467fae,10);-8.618460556065784;-77.98047525144779;Labore mollitia nostrum repellat blanditiis fugiat.;(9239ddf6-4b37-4efb-8b60-b0330e58fca5,62,(8bbc953e-2249-449f-9fc0-898a6a731165,85));2022-04-06;95;16;12
(cde3340f-8487-4d9d-a5dc-4621594530aa,63);-51.80322422385049;42.93433308997885;Molestiae cum labore quo est.;(531e1723-5f84-4fd3-a2a4-5ac33a1fdf53,89,(4effcbf0-97a5-4b1a-8752-748908e5df94,24));2022-04-06;57;30;4
