17;14.685547351856016;-101.81343538169115;02921:40,04407:87,04589:68,01098:91,02655:32,04832:69,05935:84,02802:36,05583:98,08736:39;ipsum;8931032625565918822
31;-53.52200378053542;68.52499419122725;09767:64,06911:82,05243:74,05715:29;quaerat,ut,maxime;4398338003187403227
31;-43.683250130469325;54.43467595982824;03007:75,09427:25;qui,aut;-6013522934507612770
29;-34.31612558162761;-130.51598757314522;03422:86,02008:90,06289:67,08247:87,04863:47,02332:83,0247:78,04696:59,06990:31;quasi,qui,et,mollitia;4521012108079882406
94;-53.550652494570535;63.48886467263702;04291:36,01368:98,02874:16,05971:25,06171:26,06016:54,03995:84,08337:95,01313:74,04566:21;distinctio,maxime,cupiditate,et,beatae,pariatur,aperiam,doloribus,mollitia;4309189488409934184
30;-70.19655608807459;-59.27121378404604;03462:79,04673:36,06203:16,05597:43,08071:75;quis,qui,inventore,ipsum,ullam,adipisci,est,sapiente,et,et;-8556764745695293001
12;37.977934484767545;-73.96115375138898;06976:21,08471:84,05993:57,08129:85,03083:59,07752:72;explicabo,praesentium,eaque;9165568321718845212
26;63.65512212201156;107.24070848413152;03699:34,04066:51,02797:83,06732:91,07448:98;assumenda,ducimus,expedita,amet,nobis,officiis,dolores,architecto,qui,quos;-124869158001970179
61;-2.164048224448166;-131.39498974452516;05535:26,03741:40,04575:50;ut,voluptatem;1557604467602779374
41;7.628997963442416;-73.40385229783381;05037:37,09393:82,07500:54,05720:71,04607:70;blanditiis,nemo,quia,modi,sequi,vitae,nostrum;5229132718126597135
3;19.49044473297083;-56.83553285198657;07357:41,02312:43,04979:57,01543:64,09033:18,06959:89,09030:72;et,ea,harum,pariatur,vitae,et,omnis,sapiente,deleniti,voluptatem;5982008707317803338
49;-1.2701090933284718;50.01003739306924;05441:73,08161:22,07420:71,09786:23,02602:32,08839:43,03629:29;ullam,quas,est,aliquam,et,eum,aliquam;7095229622321973791
17;-56.73599127958602;-90.36855546982359;04962:39,01591:57;sint,voluptas,aut;-7638074080822929351
27;61.006190521687216;-0.5530686323248517;02364:22,08050:95,06154:16;et,temporibus;-1943843927115115258
54;68.52603974970202;-125.5251369227393;04836:72,03231:35,02706:34,06714:89,02391:23;voluptatem,minima,molestias,sit,ullam,inventore,reprehenderit;-3026489526434599378
